,epidermal cell_Skin,endothelial cell_Fat,basal cell_Mammary_Gland,endothelial cell_Heart,bladder cell_Bladder,leukocyte_Heart,microglial cell_Brain_Myeloid,immature T cell_Thymus,B cell_Spleen,macrophage_Kidney,mesenchymal stem cell of adipose_Fat,fibroblast_Heart,endocardial cell_Heart,skeletal muscle satellite stem cell_Limb_Muscle,bladder urothelial cell_Bladder,skeletal muscle satellite cell_Limb_Muscle,basal cell of epidermis_Tongue,astrocyte_Brain_Non-Myeloid,keratinocyte_Tongue,granulocyte_Marrow,endothelial cell_Trachea,basophil_Marrow,keratinocyte stem cell_Skin,basal cell of epidermis_Skin,mesenchymal cell_Trachea,natural killer cell_Fat,stromal cell_Lung,lung endothelial cell_Lung,oligodendrocyte_Brain_Non-Myeloid,endothelial cell_Brain_Non-Myeloid,Slamf1-positive multipotent progenitor cell_Marrow,megakaryocyte-erythroid progenitor cell_Marrow,epithelial cell of large intestine_Large_Intestine,immature B cell_Marrow,Slamf1-negative multipotent progenitor cell_Marrow,large intestine goblet cell_Large_Intestine,pancreatic A cell_Pancreas,natural killer cell_Liver,stem cell of epidermis_Skin,neuron_Brain_Non-Myeloid,monocyte_Marrow,Brush cell of epithelium proper of large intestine_Large_Intestine,late pro-B cell_Marrow,naive B cell_Marrow,granulocyte monocyte progenitor cell_Marrow,immature T cell_Marrow,cardiac muscle cell_Heart,hepatocyte_Liver,myeloid cell_Fat,T cell_Spleen,endothelial cell_Kidney,leukocyte_Thymus,granulocytopoietic cell_Marrow,B cell_Fat,oligodendrocyte precursor cell_Brain_Non-Myeloid,common lymphoid progenitor_Marrow,macrophage_Brain_Myeloid,macrophage_Marrow,T cell_Fat,type B pancreatic cell_Pancreas,endothelial cell of hepatic sinusoid_Liver,myeloid cell_Lung,luminal epithelial cell of mammary gland_Mammary_Gland,macrophage_Spleen,B cell_Marrow,hematopoietic precursor cell_Marrow,kidney collecting duct epithelial cell_Kidney,pre-natural killer cell_Marrow,leukocyte_Pancreas,Bergmann glial cell_Brain_Non-Myeloid,precursor B cell_Marrow,macrophage_Limb_Muscle,Kupffer cell_Liver,pancreatic acinar cell_Pancreas,blood cell_Trachea,epithelial cell of proximal tubule_Kidney,enterocyte of epithelium of large intestine_Large_Intestine,pancreatic PP cell_Pancreas,brain pericyte_Brain_Non-Myeloid,mature natural killer cell_Marrow,epithelial cell_Trachea,pancreatic ductal cell_Pancreas,stromal cell_Mammary_Gland,endothelial cell_Pancreas,endothelial cell_Mammary_Gland,professional antigen presenting cell_Heart,monocyte_Lung,erythrocyte_Heart,immature natural killer cell_Marrow,pancreatic D cell_Pancreas,classical monocyte_Lung,B cell_Liver,B cell_Lung,leukocyte_Skin,enteroendocrine cell_Large_Intestine,DN1 thymic pro-T cell_Thymus,T cell_Lung,natural killer cell_Lung,epithelial cell of lung_Lung,pancreatic stellate cell_Pancreas,ciliated columnar cell of tracheobronchial tree_Lung,endothelial cell_Limb_Muscle,smooth muscle cell_Heart,regulatory T cell_Marrow,leukocyte_Kidney,leukocyte_Lung,mesenchymal stem cell_Limb_Muscle,immature NK T cell_Marrow,B cell_Limb_Muscle,lymphocyte_Limb_Muscle,T cell_Limb_Muscle
Aatf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049220611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164327925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103883331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064214948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042185424,NA,0.01932873,0.089581838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aebp1,NA,NA,NA,NA,13.00737171,0.803553363,0.504428172,NA,NA,NA,29.81717319,NA,NA,NA,NA,NA,NA,NA,0.120252197,NA,NA,NA,NA,0.382243894,8.874906022,NA,11.85456617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236867219,NA,NA,NA,NA,0.104505756,NA,NA,0.466389789,NA,NA,NA,NA,NA,NA,0.080411868,NA,NA,NA,NA,0.249878635,0.27219563,NA,0.015721426,NA,NA,NA,NA,NA,NA,NA,0.305127928,NA,NA,NA,NA,0.037302344,NA,0.20537535,0.025842185,NA,0.174790546,NA,NA,NA,NA,NA,NA,NA,NA,0.192283755,NA,NA,NA,NA,NA,NA,NA,0.193855606,6.24985285,13.2532197,NA,NA,NA,NA,NA,14.76803405,NA,NA,NA,NA
Aebp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225882795,NA,NA,NA,NA,0.063456212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104996762,NA,NA,0.189136387,NA,NA,NA,NA,NA,NA,0.015482592,NA,NA,NA,NA,NA,0.179552767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024557618,NA,0.065837054,0.046216836,NA,0.169469596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aff1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143393933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081596924,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008521344,NA,NA,NA,NA,0.14079064,0.110535771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03447201,0.080341254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197550761,NA,NA,NA,NA,0.296347662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261397029
Aff3,NA,NA,NA,NA,NA,0.538581731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099909511,NA,NA,NA,NA,NA,NA,0.928602472,NA,NA,NA,0.617606938,NA,NA,NA,NA,NA,NA,NA,1.147495686,NA,NA,0.161093883,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.430116303,NA,0.977578031,NA,NA,0.267299789,0.08063628,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117716379,NA,NA,NA,NA,0.021705938,NA,0.040826653,0.07603688,NA,0.295057677,NA,NA,NA,NA,NA,NA,NA,NA,0.202915817,0.543585147,NA,NA,NA,0.156522322,NA,NA,0.240434053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahctf1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055245898,NA,NA,NA,NA,NA,NA,0.200411161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053017209,NA,NA,0.444147517,NA,NA,NA,NA,NA,NA,0.059653784,NA,NA,NA,NA,NA,NA,NA,0.111054342,NA,NA,NA,NA,NA,NA,NA,0.157239997,NA,NA,NA,NA,0.041689244,NA,NA,0.092402834,NA,NA,NA,NA,NA,NA,0.704139509,NA,NA,NA,0.213982499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630120078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298225624,NA,NA,NA,NA,NA,NA,NA,0.009263042,NA,NA,NA,NA,0.290791122,0.427487855,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186361129,NA,NA,NA,NA,0.036270206,NA,0.011880831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407237133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI987944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022217597,NA,NA,NA,NA,NA,NA,0.059317843,0.036601323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akna,NA,NA,NA,NA,NA,0.774569659,NA,NA,NA,NA,NA,NA,NA,0.359353459,NA,NA,NA,NA,NA,3.681545307,NA,NA,NA,0.178299629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.480972377,NA,NA,NA,NA,1.05557465,NA,NA,NA,NA,NA,1.829212328,NA,1.983053347,NA,0.100847423,NA,NA,NA,NA,0.082119529,1.320686268,NA,2.523979987,2.165076801,NA,NA,1.313002244,NA,NA,NA,NA,NA,NA,NA,NA,0.083438391,NA,NA,1.883627432,NA,0.077046111,NA,NA,NA,5.035690661,2.623044814,NA,NA,NA,0.292410516,1.44228264,NA,NA,NA,1.072468975,0.409455892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alx1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002917096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.198360229,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alx3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.164357752,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alx4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000847118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002541858,NA,NA,NA,NA,0.037316179,NA,0.422175025,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036188422,0.014689976,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010632879,NA,NA,NA,NA,0.00164881,NA,0.008728761,5.00E-04,NA,0.043771949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arid3a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.258466345,NA,NA,NA,0.035004036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.054551552,NA,NA,NA,NA,0.045907398,NA,NA,NA,NA,NA,NA,7.841779644,NA,NA,NA,NA,1.141100126,NA,NA,NA,0.132531792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030214522,NA,NA,0.015385048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arid3b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007887967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15379756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027334644,NA,NA,0.072431303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arid3c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arid5b,NA,NA,NA,NA,NA,1.186411602,NA,2.134320417,NA,NA,NA,NA,NA,3.307110289,NA,4.974283706,NA,NA,NA,NA,NA,NA,NA,0.090959658,2.450660105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12558415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084541534,NA,NA,0.300492398,NA,NA,NA,NA,NA,NA,0.023502437,NA,NA,NA,NA,0.213848576,1.15938677,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187252012,NA,NA,NA,NA,0.678328979,NA,0.331484378,0.040501309,NA,0.093212587,NA,NA,1.915880162,NA,0.611890826,NA,NA,NA,0.247458905,NA,NA,NA,NA,NA,NA,NA,0.537427892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27165361,NA,NA,NA,NA,NA,NA,0.010181944,NA,NA,NA,NA,NA,0.165563729,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071368082,NA,NA,NA,NA,NA,NA,0.062326159,NA,NA,0.116615777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arnt2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019686847,NA,NA,NA,NA,2.05431105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.009255217,0.013406047,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02134922,NA,NA,NA,NA,NA,NA,0.012595807,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arntl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185888427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.456905518,NA,NA,0.069641611,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013341113,NA,NA,NA,NA,NA,0.070890008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016226651,NA,NA,0.036644092,NA,NA,NA,NA,NA,NA,0.532440927,NA,NA,NA,0.11280126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arntl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014826139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.000939201,0.000974359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002777818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.384022982,NA,NA,NA,NA,NA,NA,NA,NA,0.002819602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022602345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.009327388,NA,0.004434616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascl1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006563829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00096642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.013717788,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49479782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009551023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007754471,NA,NA,NA,NA,NA,NA,0.004833927,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascl3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascl4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004778749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000988764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atf1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09477169,NA,NA,NA,NA,0.046370407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093614707,NA,NA,NA,NA,NA,NA,0.034043154,NA,NA,0.071250544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atf2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046629007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307806263,NA,NA,NA,NA,NA,NA,0.047255422,NA,NA,NA,NA,0.092698011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297639476,NA,NA,NA,NA,0.044651292,NA,0.03940134,NA,NA,0.052319961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atf5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689692569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026920664,NA,0.296556877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030685174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069879128,NA,NA,NA,NA,0.006818884,NA,0.436348713,0.000666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067414975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atf6,NA,NA,NA,NA,NA,NA,NA,0.595383956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050403869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124913502,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010345517,NA,NA,NA,NA,0.065949132,0.083961491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03321042,0.028068886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093277156,NA,NA,NA,NA,NA,0.183419786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atf6b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094291661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434513912,NA,NA,NA,NA,0.029144727,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024247074,NA,NA,NA,NA,0.102329305,0.114456542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030086301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147282156,NA,NA,NA,NA,NA,0.227652962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atf7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096716606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040500458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071227404,NA,NA,NA,NA,NA,NA,0.0433655,0.02193449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atoh1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013566231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67989595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00408895,NA,NA,NA,NA,0.074497391,NA,0.000875,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atoh8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008383124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173522724,NA,NA,NA,NA,NA,NA,NA,0.009242288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025831651,0.001886905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
